kode_wilayah,kode_kab_kota,kode_prov,provinsi,provinsi_normalized,kabupaten_kota,kabupaten_kota_normalized,tipe_wilayah,score_2022,score_2023,score_2024,current_score_2024,projected_score_2025,score_change,current_rank,projected_rank,rank_change,current_quartile,projected_quartile,trend_status,trend_risk_score,delta_stunting,delta_poverty,delta_ikp_risk,decision_status,early_warning,dominant_factor,recommendation,stunting_pct,kemiskinan_pct,persen_penduduk_miskin,ikp,stunting_pct_2022,stunting_pct_2023,stunting_pct_2024,stunting_pct_2025,kemiskinan_pct_2022,kemiskinan_pct_2023,kemiskinan_pct_2024,kemiskinan_pct_2025,ikp_score_2022,ikp_score_2023,ikp_score_2024,ikp_score_2025,stunting_risk_2024,poverty_risk_2024,food_risk_2024,contrib_stunting,contrib_kemiskinan,contrib_ikp,priority_score,rank,prioritas_kategori,rekomendasi,pct_priority
9212,9212,92,Papua Barat,Papua Barat,Pegunungan Arfak,Pegunungan Arfak,Kabupaten,99.6005361930295,97.65013404825737,98.02815013404825,98.02815013404825,68.03887399463807,-29.98927613941018,1,85,-84,Q4,Q4,Membaik,20.892761394101875,-25.1,-1.9499999999999993,-0.6300000000000026,Tingkatkan segera,False,Stunting,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,26.4,31.76,31.76,35.53,51.5,34.7,26.4,12.433333333334303,33.71,32.29,31.76,30.636666666666315,34.9,32.87,35.53,35.06333333333316,96.38069705093834,99.73190348525469,99.19571045576407,45.29892761394102,28.92225201072386,23.806970509383376,98.02815013404825,1,Tingkatkan segera,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,100.0
9119,9119,91,Papua,Papua,Supiori,Supiori,Kabupaten,99.1769436997319,99.36729222520107,94.64209115281501,94.64209115281501,79.83646112600536,-14.805630026809652,2,26,-24,Q4,Q4,Relatif stabil,38.42359249329758,-17.000000000000004,0.01999999999999602,-2.8199999999999967,Tingkatkan segera,False,Stunting,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,23.2,37.72,37.72,32.69,40.2,37.7,23.2,16.700000000000728,37.7,36.99,37.72,37.48999999999995,29.87,30.41,32.69,33.809999999999036,88.8739946380697,100.0,99.46380697050938,41.77077747989276,28.999999999999996,23.871313672922252,94.64209115281501,2,Tingkatkan segera,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,99.73190348525469
5208,5208,52,Nusa Tenggara Barat,Nusa Tenggara Barat,Lombok Utara,Lombok Utara,Kabupaten,91.73994638069703,92.08310991957106,94.53351206434316,94.53351206434316,93.19034852546915,-1.343163538874009,3,2,1,Q4,Q4,Membaik,37.024128686327074,-7.5,-1.9699999999999989,-0.21999999999999886,Tingkatkan segera,False,Stunting,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,28.4,23.96,23.96,68.39,35.9,33.5,28.4,25.100000000000364,25.93,25.8,23.96,23.25999999999999,68.17,65.92,68.39,67.7133333333332,99.19571045576407,97.31903485254692,82.03753351206434,46.62198391420911,28.222520107238605,19.68900804289544,94.53351206434316,3,Tingkatkan segera,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,99.46380697050938
1110,1110,11,Aceh,Aceh,Aceh Singkil,Aceh Singkil,Kabupaten,92.90348525469167,95.25067024128685,93.50402144772119,93.50402144772119,88.59517426273457,-4.908847184986612,4,11,-7,Q4,Q4,Cenderung memburuk,55.91554959785522,-10.399999999999999,-0.120000000000001,5.780000000000001,Tingkatkan segera,False,Stunting,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,23.6,19.06,19.06,46.1,34.0,34.1,23.6,20.1666666666697,19.18,19.15,19.06,19.00999999999999,51.88,47.06,46.1,42.56666666666479,90.88471849865952,94.36997319034852,97.58713136729223,42.715817694369974,27.36729222520107,23.420911528150135,93.50402144772119,4,Tingkatkan segera,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,99.19571045576407
9207,9207,92,Papua Barat,Papua Barat,Teluk Wondama,Teluk Wondama,Kabupaten,83.4289544235925,69.82037533512064,93.0053619302949,93.0053619302949,87.50938337801608,-5.495978552278814,5,12,-7,Q4,Q4,Relatif stabil,38.35254691689008,-3.6000000000000014,-1.5899999999999999,-4.809999999999999,Tingkatkan segera,False,Stunting,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,22.5,28.47,28.47,36.76,26.1,19.7,22.5,19.166666666665606,30.06,28.9,28.47,27.553333333333057,31.95,32.93,36.76,38.69000000000051,86.32707774798928,98.92761394101876,98.92761394101876,40.57372654155496,28.689008042895438,23.742627345844504,93.0053619302949,5,Tingkatkan segera,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,98.92761394101876
1225,1225,12,Sumatera Utara,Sumatera Utara,Nias Barat,Nias Barat,Kabupaten,86.03083109919571,86.3793565683646,92.79088471849865,92.79088471849865,91.62198391420911,-1.1689008042895352,6,5,1,Q4,Q4,Membaik,36.0402144772118,-4.0,-2.0700000000000003,-4.749999999999993,Tingkatkan segera,False,Stunting,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,25.4,22.68,22.68,65.35,29.4,28.9,25.4,23.900000000000546,24.75,22.81,22.68,21.343333333332794,60.6,61.2,65.35,67.13333333333412,94.36997319034852,96.24664879356568,85.52278820375335,44.3538873994638,27.911528150134046,20.525469168900802,92.79088471849865,6,Tingkatkan segera,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,98.65951742627345
8109,8109,81,Maluku,Maluku,Buru Selatan,Buru Selatan,Kabupaten,92.12198391420911,91.7573726541555,92.30294906166219,92.30294906166219,82.22520107238606,-10.077747989276133,7,22,-15,Q4,Q4,Cenderung memburuk,53.402144772117964,-15.400000000000002,0.16000000000000014,4.469999999999999,Tingkatkan segera,False,Stunting,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,26.2,14.91,14.91,53.32,41.6,35.5,26.2,19.03333333332921,14.75,15.28,14.91,15.140000000000043,57.79,59.08,53.32,52.26000000000022,95.97855227882037,85.52278820375335,93.2975871313673,45.10991957104557,24.80160857908847,22.39142091152815,92.30294906166219,7,Tingkatkan segera,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,98.39142091152814
8107,8107,81,Maluku,Maluku,Kepulauan Aru,Kepulauan Aru,Kabupaten,86.67828418230562,98.61662198391421,91.7479892761394,91.7479892761394,96.23860589812331,4.490616621983904,8,1,7,Q4,Q4,Memburuk cepat,63.82573726541554,-5.700000000000003,-0.120000000000001,-0.7899999999999991,Tingkatkan segera,False,Stunting,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,22.4,23.39,23.39,43.15,28.1,40.6,22.4,24.66666666666697,23.51,24.21,23.39,23.583333333333385,42.36,44.01,43.15,43.96333333333348,85.52278820375335,96.7828418230563,97.85522788203754,40.19571045576407,28.067024128686324,23.485254691689008,91.7479892761394,8,Tingkatkan segera,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,98.12332439678283
9205,9205,92,Papua Barat,Papua Barat,Raja Ampat,Raja Ampat,Kabupaten,88.88605898123325,90.32707774798928,91.73860589812332,91.73860589812332,89.78552278820374,-1.9530831099195893,9,9,0,Q4,Q4,Membaik,24.39946380697051,-6.0,-1.4900000000000002,-9.82,Tingkatkan segera,False,Stunting,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,25.1,15.83,15.83,54.42,31.1,30.9,25.1,23.03333333333285,17.32,16.76,15.83,15.14666666666676,44.6,44.12,54.42,57.53333333333467,93.69973190348524,87.93565683646113,92.49329758713137,44.03887399463806,25.501340482573728,22.198391420911527,91.73860589812332,9,Tingkatkan segera,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,97.85522788203752
9105,9105,91,Papua,Papua,Kepulauan Yapen,Kepulauan Yapen,Kabupaten,91.15415549597854,94.0965147453083,90.97050938337802,90.97050938337802,92.03217158176943,1.0616621983914172,10,4,6,Q4,Q4,Relatif stabil,41.87935656836461,-8.900000000000002,-0.4599999999999973,-1.9799999999999969,Tingkatkan segera,False,Stunting,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,22.2,25.69,25.69,46.8,31.1,39.9,22.2,22.16666666666788,26.15,25.89,25.69,25.44999999999999,44.82,69.7,46.8,55.75333333333515,83.6461126005362,97.58713136729223,97.31903485254692,39.31367292225201,28.300268096514746,23.35656836461126,90.97050938337802,10,Tingkatkan segera,Wilayah ini disarankan menjadi prioritas utama peningkatan cakupan MBG dan monitoring status gizi. Skor 2024 tinggi dan proyeksi 2025 tetap tinggi.,97.58713136729223
