kode_wilayah,kabupaten_kota,provinsi,alasan
1112,Aceh Barat Daya,Aceh,stunting kosong 2024
1204,Nias,Sumatera Utara,stunting kosong 2024
1205,Langkat,Sumatera Utara,stunting kosong 2024
1206,Karo,Sumatera Utara,stunting kosong 2024
1207,Deli Serdang,Sumatera Utara,stunting kosong 2024
1219,Batu Bara,Sumatera Utara,stunting kosong 2024
1220,Padang Lawas Utara,Sumatera Utara,stunting kosong 2024
1221,Padang Lawas,Sumatera Utara,stunting kosong 2024
1222,Labuhan Batu Selatan,Sumatera Utara,stunting kosong 2024
1223,Labuhan Batu Utara,Sumatera Utara,stunting kosong 2024
1224,Nias Utara,Sumatera Utara,stunting kosong 2024
1271,Medan,Sumatera Utara,stunting kosong 2024
1273,Sibolga,Sumatera Utara,stunting kosong 2024
1276,Tebing Tinggi,Sumatera Utara,stunting kosong 2024
1311,Solok Selatan,Sumatera Barat,stunting kosong 2024
1401,Kampar,Riau,stunting kosong 2024
1404,Indragiri Hilir,Riau,stunting kosong 2024
1405,Pelalawan,Riau,stunting kosong 2024
1501,Kerinci,Jambi,stunting kosong 2024
1504,Batang Hari,Jambi,stunting kosong 2024
1505,Muaro Jambi,Jambi,stunting kosong 2024
1508,Bungo,Jambi,stunting kosong 2024
1606,Musi Banyuasin,Sumatera Selatan,stunting kosong 2022; stunting kosong 2023; stunting kosong 2024
1607,Banyuasin,Sumatera Selatan,stunting kosong 2024
1608,Ogan Komering Ulu Timur,Sumatera Selatan,stunting kosong 2024
1613,Musi Rawas Utara,Sumatera Selatan,stunting kosong 2024
1672,Pagar Alam,Sumatera Selatan,stunting kosong 2024
1701,Bengkulu Selatan,Bengkulu,stunting kosong 2024
1708,Kepahiang,Bengkulu,stunting kosong 2024
1812,Tulang Bawang Barat,Lampung,stunting kosong 2022; stunting kosong 2023
2101,Bintan,Kep. Riau,stunting kosong 2024
3201,Bogor,Jawa Barat,stunting kosong 2024
3207,Ciamis,Jawa Barat,stunting kosong 2024
3209,Cirebon,Jawa Barat,stunting kosong 2024
3216,Bekasi,Jawa Barat,stunting kosong 2024
3272,Sukabumi,Jawa Barat,stunting kosong 2024
3304,Banjarnegara,Jawa Tengah,stunting kosong 2023
3307,Wonosobo,Jawa Tengah,stunting kosong 2023; stunting kosong 2024
3308,Magelang,Jawa Tengah,stunting kosong 2024
3309,Boyolali,Jawa Tengah,stunting kosong 2023
3310,Klaten,Jawa Tengah,stunting kosong 2023
3313,Karanganyar,Jawa Tengah,stunting kosong 2024
3319,Kudus,Jawa Tengah,stunting kosong 2024
3320,Jepara,Jawa Tengah,stunting kosong 2023; stunting kosong 2024
3322,Semarang,Jawa Tengah,stunting kosong 2024
3325,Batang,Jawa Tengah,stunting kosong 2023
3372,Surakarta,Jawa Tengah,stunting kosong 2023
3374,Semarang,Jawa Tengah,stunting kosong 2023
3502,Ponorogo,Jawa Timur,stunting kosong 2024
3513,Probolinggo,Jawa Timur,stunting kosong 2024
3515,Sidoarjo,Jawa Timur,stunting kosong 2024
3528,Pamekasan,Jawa Timur,stunting kosong 2024
3574,Probolinggo,Jawa Timur,stunting kosong 2024
3576,Mojokerto,Jawa Timur,stunting kosong 2024
3578,Surabaya,Jawa Timur,stunting kosong 2024
3673,Serang,Banten,stunting kosong 2024
5171,Denpasar,Bali,stunting kosong 2024
5201,Lombok Barat,Nusa Tenggara Barat,stunting kosong 2024
5202,Lombok Tengah,Nusa Tenggara Barat,stunting kosong 2024
5206,Bima,Nusa Tenggara Barat,stunting kosong 2024
5207,Sumbawa Barat,Nusa Tenggara Barat,stunting kosong 2024
5301,Kupang,Nusa Tenggara Timur,stunting kosong 2022
5302,Timor Tengah Selatan,Nusa Tenggara Timur,stunting kosong 2022
5303,Timor Tengah Utara,Nusa Tenggara Timur,stunting kosong 2022
5304,Belu,Nusa Tenggara Timur,stunting kosong 2022
5305,Alor,Nusa Tenggara Timur,stunting kosong 2022
5306,Flores Timur,Nusa Tenggara Timur,stunting kosong 2022
5307,Sikka,Nusa Tenggara Timur,stunting kosong 2022
5308,Ende,Nusa Tenggara Timur,stunting kosong 2022
5309,Ngada,Nusa Tenggara Timur,stunting kosong 2022
5310,Manggarai,Nusa Tenggara Timur,stunting kosong 2022
5311,Sumba Timur,Nusa Tenggara Timur,stunting kosong 2022
5312,Sumba Barat,Nusa Tenggara Timur,stunting kosong 2022
5313,Lembata,Nusa Tenggara Timur,stunting kosong 2022
5314,Rote Ndao,Nusa Tenggara Timur,stunting kosong 2022
5315,Manggarai Barat,Nusa Tenggara Timur,stunting kosong 2022
5316,Nagekeo,Nusa Tenggara Timur,stunting kosong 2022
5317,Sumba Tengah,Nusa Tenggara Timur,stunting kosong 2022
5318,Sumba Barat Daya,Nusa Tenggara Timur,stunting kosong 2022
5319,Manggarai Timur,Nusa Tenggara Timur,stunting kosong 2022
5320,Sabu Raijua,Nusa Tenggara Timur,stunting kosong 2022
