kode_wilayah,kode_prov,provinsi,kabupaten_kota,tipe_wilayah,tahun,stunting_pct,kemiskinan_pct,ikp_score,quality_flag,stunting_risk,poverty_risk,food_risk,priority_score,contrib_stunting,contrib_kemiskinan,contrib_ikp
1101,11,Aceh,Aceh Selatan,Kabupaten,2022,34.8,12.43,71.02,,93.5656836461126,68.36461126005362,72.2520107238606,81.14209115281501,43.97587131367292,19.825737265415547,17.340482573726543
1102,11,Aceh,Aceh Tenggara,Kabupaten,2022,36.7,12.83,77.39,,95.84450402144772,71.84986595174263,49.597855227882036,77.78686327077747,45.046916890080425,20.83646112600536,11.903485254691688
1103,11,Aceh,Aceh Timur,Kabupaten,2022,33.6,13.91,76.55,,91.01876675603218,78.55227882037534,52.54691689008043,78.17024128686327,42.77882037533512,22.780160857908847,12.611260053619302
1104,11,Aceh,Aceh Tengah,Kabupaten,2022,32.0,14.5,63.93,,87.39946380697052,80.9651474530831,82.30563002680965,84.31099195710455,41.07774798927614,23.479892761394098,19.753351206434317
1105,11,Aceh,Aceh Barat,Kabupaten,2022,30.4,17.93,77.56,,82.30563002680965,90.88471849865952,48.257372654155496,76.62198391420911,38.683646112600535,26.35656836461126,11.581769436997318
1106,11,Aceh,Aceh Besar,Kabupaten,2022,27.0,13.38,81.49,,69.3029490616622,75.06702412868633,26.273458445040205,60.64745308310992,32.57238605898124,21.769436997319033,6.3056300268096495
1107,11,Aceh,Pidie,Kabupaten,2022,27.8,18.79,72.52,,73.7265415549598,93.5656836461126,67.5603217158177,78.0,34.6514745308311,27.134048257372655,16.214477211796247
1108,11,Aceh,Aceh Utara,Kabupaten,2022,38.3,16.86,75.85,,97.31903485254692,88.73994638069705,55.22788203753351,84.72922252010723,45.73994638069705,25.734584450402142,13.254691689008043
1109,11,Aceh,Simeulue,Kabupaten,2022,37.2,18.37,74.63,,96.7828418230563,91.68900804289544,59.78552278820376,86.42627345844504,45.487935656836456,26.589812332439674,14.348525469168901
1110,11,Aceh,Aceh Singkil,Kabupaten,2022,34.0,19.18,51.88,,91.68900804289544,94.10187667560321,93.83378016085791,92.90348525469167,43.09383378016085,27.28954423592493,22.5201072386059
1111,11,Aceh,Bireuen,Kabupaten,2022,23.4,12.51,78.79,,51.34048257372654,69.0348525469169,42.76139410187667,54.41286863270777,24.130026809651472,20.0201072386059,10.2627345844504
1113,11,Aceh,Gayo Lues,Kabupaten,2022,34.6,18.87,72.31,,93.02949061662198,93.8337801608579,68.63270777479893,87.40750670241286,43.72386058981233,27.211796246648788,16.471849865951743
1114,11,Aceh,Aceh Jaya,Kabupaten,2022,19.9,12.51,77.41,,34.98659517426274,69.0348525469169,49.06166219839142,48.238605898123325,16.443699731903486,20.0201072386059,11.77479892761394
1115,11,Aceh,Nagan Raya,Kabupaten,2022,28.8,17.38,74.47,,77.07774798927613,89.81233243967829,60.85790884718499,76.87801608579088,36.22654155495978,26.0455764075067,14.605898123324396
1116,11,Aceh,Aceh Tamiang,Kabupaten,2022,27.4,12.61,79.33,,71.58176943699732,69.97319034852548,38.87399463806971,63.26541554959785,33.64343163538874,20.292225201072387,9.32975871313673
1117,11,Aceh,Bener Meriah,Kabupaten,2022,37.0,18.39,48.14,,96.51474530831099,91.95710455764075,94.63806970509384,94.74262734584451,45.361930294906166,26.667560321715815,22.71313672922252
1118,11,Aceh,Pidie Jaya,Kabupaten,2022,37.8,18.45,76.06,,97.05093833780161,92.49329758713137,53.88739946380697,85.36997319034852,45.61394101876675,26.823056300268096,12.932975871313673
1171,11,Aceh,Banda Aceh,Kota,2022,25.1,7.13,84.36,,62.33243967828418,32.707774798927616,12.868632707774793,41.86997319034852,29.296246648793563,9.485254691689008,3.0884718498659502
1172,11,Aceh,Sabang,Kota,2022,23.4,14.66,61.7,,51.34048257372654,82.30563002680965,84.1823056300268,68.2024128686327,24.130026809651472,23.868632707774797,20.203753351206434
1173,11,Aceh,Lhokseumawe,Kota,2022,28.1,10.84,69.34,,75.06702412868633,58.17694369973191,76.67560321715817,70.55495978552278,35.28150134048257,16.871313672922252,18.40214477211796
1174,11,Aceh,Langsa,Kota,2022,22.1,10.62,69.15,,44.638069705093834,56.56836461126006,77.21179624664879,55.915549597855225,20.9798927613941,16.404825737265416,18.53083109919571
1175,11,Aceh,Subulussalam,Kota,2022,47.9,16.94,23.93,,99.73190348525469,89.00804289544236,99.46380697050938,96.55764075067025,46.8739946380697,25.812332439678283,23.871313672922252
1201,12,Sumatera Utara,Tapanuli Tengah,Kabupaten,2022,30.5,11.71,70.89,,82.70777479892762,62.86863270777479,72.65415549597856,74.54155495978551,38.87265415549598,18.231903485254687,17.43699731903485
1202,12,Sumatera Utara,Tapanuli Utara,Kabupaten,2022,27.4,8.93,76.3,,71.58176943699732,46.91689008042895,53.61930294906166,60.11796246648793,33.64343163538874,13.605898123324394,12.868632707774799
1203,12,Sumatera Utara,Tapanuli Selatan,Kabupaten,2022,39.4,8.07,72.68,,98.12332439678283,39.946380697050934,66.75603217158178,73.72386058981232,46.11796246648793,11.58445040214477,16.021447721179626
1208,12,Sumatera Utara,Simalungun,Kabupaten,2022,17.4,8.26,80.84,,22.5201072386059,41.420911528150135,30.294906166219832,29.86729222520107,10.584450402144771,12.012064343163539,7.270777479892759
1209,12,Sumatera Utara,Asahan,Kabupaten,2022,15.3,8.64,71.65,,16.353887399463808,43.96782841823057,70.24128686327077,37.29490616621983,7.68632707774799,12.750670241286864,16.857908847184984
1210,12,Sumatera Utara,Labuhan Batu,Kabupaten,2022,23.9,8.26,75.83,,55.093833780160864,41.420911528150135,55.49597855227882,51.22520107238606,25.894101876675606,12.012064343163539,13.319034852546917
1211,12,Sumatera Utara,Dairi,Kabupaten,2022,28.6,7.88,80.17,,76.54155495978551,38.73994638069705,34.71849865951742,55.541554959785515,35.97453083109919,11.234584450402144,8.332439678284182
1212,12,Sumatera Utara,Toba Samosir,Kabupaten,2022,24.8,8.89,82.79,,59.51742627345844,46.11260053619303,21.58176943699732,46.5254691689008,27.973190348525467,13.372654155495978,5.1796246648793565
1213,12,Sumatera Utara,Mandailing Natal,Kabupaten,2022,34.2,8.92,66.36,,92.35924932975871,46.64879356568365,80.69705093833781,76.30428954423591,43.40884718498659,13.528150134048257,19.367292225201073
