skenario,kode_kab_kota,kabupaten_kota_normalized,provinsi_normalized,priority_score,rank,in_top10
Fokus kerentanan,1101,Aceh Selatan,Aceh,41.15633280969153,42,False
Fokus kerentanan,1102,Aceh Tenggara,Aceh,32.683392861747315,99,False
Fokus kerentanan,1103,Aceh Timur,Aceh,40.991544636448296,44,False
Fokus kerentanan,1104,Aceh Tengah,Aceh,36.24781090322163,73,False
Fokus kerentanan,1105,Aceh Barat,Aceh,32.54066919119636,103,False
Fokus kerentanan,1106,Aceh Besar,Aceh,36.62984481298263,70,False
Fokus kerentanan,1107,Pidie,Aceh,42.161181419010184,37,False
Fokus kerentanan,1108,Aceh Utara,Aceh,27.06159152779429,194,False
Fokus kerentanan,1109,Simeulue,Aceh,32.179598445640345,111,False
Fokus kerentanan,1110,Aceh Singkil,Aceh,46.65929147844474,19,False
Fokus kerentanan,1111,Bireuen,Aceh,31.442190979772842,125,False
Fokus kerentanan,1113,Gayo Lues,Aceh,27.759448878354288,178,False
Fokus kerentanan,1114,Aceh Jaya,Aceh,32.87078145459148,94,False
Fokus kerentanan,1115,Nagan Raya,Aceh,39.09718311708257,60,False
Fokus kerentanan,1116,Aceh Tamiang,Aceh,32.394257218390024,107,False
Fokus kerentanan,1117,Bener Meriah,Aceh,44.754548554538275,26,False
Fokus kerentanan,1118,Pidie Jaya,Aceh,41.21446528920778,41,False
Fokus kerentanan,1171,Banda Aceh,Aceh,24.424390422076474,241,False
Fokus kerentanan,1172,Sabang,Aceh,31.456553049159805,122,False
Fokus kerentanan,1173,Lhokseumawe,Aceh,24.910010578954875,227,False
Fokus kerentanan,1174,Langsa,Aceh,18.399054824807997,332,False
Fokus kerentanan,1175,Subulussalam,Aceh,43.09872722500725,32,False
Fokus kerentanan,1201,Tapanuli Tengah,Sumatera Utara,37.019037768661626,66,False
Fokus kerentanan,1202,Tapanuli Utara,Sumatera Utara,35.24615951055681,81,False
Fokus kerentanan,1203,Tapanuli Selatan,Sumatera Utara,11.849001036055462,396,False
Fokus kerentanan,1208,Simalungun,Sumatera Utara,27.079219623463068,193,False
Fokus kerentanan,1209,Asahan,Sumatera Utara,18.91856303258672,319,False
Fokus kerentanan,1210,Labuhan Batu,Sumatera Utara,26.815790169896044,202,False
Fokus kerentanan,1211,Dairi,Sumatera Utara,30.623674798290352,135,False
Fokus kerentanan,1212,Toba Samosir,Sumatera Utara,27.51960293238796,185,False
Fokus kerentanan,1213,Mandailing Natal,Sumatera Utara,27.808901292359412,176,False
Fokus kerentanan,1214,Nias Selatan,Sumatera Utara,40.62183710828543,46,False
Fokus kerentanan,1215,Pakpak Bharat,Sumatera Utara,30.879469720641207,131,False
Fokus kerentanan,1216,Humbang Hasundutan,Sumatera Utara,22.610358730401874,267,False
Fokus kerentanan,1217,Samosir,Sumatera Utara,33.66389813614166,89,False
Fokus kerentanan,1218,Serdang Bedagai,Sumatera Utara,20.70978548181567,297,False
Fokus kerentanan,1225,Nias Barat,Sumatera Utara,48.12335521842361,16,False
Fokus kerentanan,1272,Pematang Siantar,Sumatera Utara,13.725022895641112,385,False
Fokus kerentanan,1274,Tanjung Balai,Sumatera Utara,12.204361954656925,394,False
Fokus kerentanan,1275,Binjai,Sumatera Utara,26.590172183045592,205,False
Fokus kerentanan,1277,Padang Sidimpuan,Sumatera Utara,34.470874010797075,85,False
Fokus kerentanan,1278,Gunungsitoli,Sumatera Utara,27.779503977437855,177,False
Fokus kerentanan,1301,Pesisir Selatan,Sumatera Barat,27.539942157275462,184,False
Fokus kerentanan,1302,Solok,Sumatera Barat,30.64724920162812,134,False
Fokus kerentanan,1303,Sijunjung,Sumatera Barat,28.614803568628332,161,False
Fokus kerentanan,1304,Tanah Datar,Sumatera Barat,25.886885155647647,215,False
Fokus kerentanan,1305,Padang Pariaman,Sumatera Barat,26.343033691165527,211,False
Fokus kerentanan,1306,Agam,Sumatera Barat,27.318190406474297,188,False
Fokus kerentanan,1307,Limapuluh Koto,Sumatera Barat,25.739533004226082,222,False
Fokus kerentanan,1308,Pasaman,Sumatera Barat,31.53200619799909,121,False
Fokus kerentanan,1309,Kepulauan Mentawai,Sumatera Barat,39.22961877586528,58,False
Fokus kerentanan,1310,Dharmas Raya,Sumatera Barat,20.112964499964715,307,False
Fokus kerentanan,1312,Pasaman Barat,Sumatera Barat,27.56767198459078,183,False
Fokus kerentanan,1371,Padang,Sumatera Barat,21.443802209778788,289,False
Fokus kerentanan,1372,Solok,Sumatera Barat,13.9032830022627,382,False
Fokus kerentanan,1373,Sawah Lunto,Sumatera Barat,19.358600632755376,315,False
Fokus kerentanan,1374,Padang Panjang,Sumatera Barat,18.887177301772596,321,False
Fokus kerentanan,1375,Bukittinggi,Sumatera Barat,13.443196102437872,388,False
Fokus kerentanan,1376,Payakumbuh,Sumatera Barat,16.412665546859724,358,False
Fokus kerentanan,1377,Pariaman,Sumatera Barat,16.687039610751768,354,False
Fokus kerentanan,1402,Indragiri Hulu,Riau,26.441228189344383,209,False
Fokus kerentanan,1403,Bengkalis,Riau,20.103827379148804,308,False
Fokus kerentanan,1406,Rokan Hulu,Riau,28.839172059959196,158,False
Fokus kerentanan,1407,Rokan Hilir,Riau,30.567020052102666,137,False
Fokus kerentanan,1408,Siak,Riau,20.88138956705223,294,False
Fokus kerentanan,1409,Kuantan Sengingi,Riau,30.212879973618072,144,False
Fokus kerentanan,1410,Kepulauan Meranti,Riau,32.565887895062474,102,False
Fokus kerentanan,1471,Pekanbaru,Riau,13.068700181153675,392,False
Fokus kerentanan,1472,Dumai,Riau,17.423879624433877,345,False
Fokus kerentanan,1502,Merangin,Jambi,14.743196931625569,378,False
Fokus kerentanan,1503,Sarolangun,Jambi,13.75401762327008,384,False
Fokus kerentanan,1506,Tanjung Jabung Barat,Jambi,15.286469650335722,370,False
Fokus kerentanan,1507,Tanjung Jabung Timur,Jambi,31.645039642553048,119,False
Fokus kerentanan,1509,Tebo,Jambi,22.979476517210834,262,False
Fokus kerentanan,1571,Jambi,Jambi,13.132949280394872,391,False
Fokus kerentanan,1572,Sungai Penuh,Jambi,7.098621630443458,404,False
Fokus kerentanan,1601,Ogan Komering Ulu,Sumatera Selatan,29.785099883311823,149,False
Fokus kerentanan,1602,Ogan Komering Ilir,Sumatera Selatan,28.257363278262822,170,False
Fokus kerentanan,1603,Muara Enim,Sumatera Selatan,26.94931342774183,198,False
Fokus kerentanan,1604,Lahat,Sumatera Selatan,21.986869143267253,277,False
Fokus kerentanan,1605,Musi Rawas,Sumatera Selatan,25.163161421222284,226,False
Fokus kerentanan,1609,Ogan Komering Ulu Selatan,Sumatera Selatan,20.351527078457853,302,False
Fokus kerentanan,1610,Ogan Ilir,Sumatera Selatan,32.39986649987241,106,False
Fokus kerentanan,1611,Empat Lawang,Sumatera Selatan,34.05768539872022,87,False
Fokus kerentanan,1612,Penukal Abab Lematang Ilir,Sumatera Selatan,27.01541468700009,196,False
Fokus kerentanan,1671,Palembang,Sumatera Selatan,15.378688461073462,369,False
Fokus kerentanan,1673,Lubuklinggau,Sumatera Selatan,27.85747604294702,175,False
Fokus kerentanan,1674,Prabumulih,Sumatera Selatan,18.80664469756829,325,False
Fokus kerentanan,1702,Rejang Lebong,Bengkulu,32.28572342294393,109,False
Fokus kerentanan,1703,Bengkulu Utara,Bengkulu,27.69888639123411,180,False
Fokus kerentanan,1704,Kaur,Bengkulu,24.49128273102933,238,False
Fokus kerentanan,1705,Seluma,Bengkulu,31.984657946713757,115,False
Fokus kerentanan,1706,Mukomuko,Bengkulu,28.096127076674755,171,False
Fokus kerentanan,1707,Lebong,Bengkulu,25.854132093174453,218,False
Fokus kerentanan,1709,Bengkulu Tengah,Bengkulu,32.08113560434331,113,False
Fokus kerentanan,1771,Bengkulu,Bengkulu,24.401796792476503,242,False
Fokus kerentanan,1801,Lampung Selatan,Lampung,16.54437663806471,356,False
Fokus kerentanan,1802,Lampung Tengah,Lampung,19.799071693556044,311,False
Fokus kerentanan,1803,Lampung Utara,Lampung,28.64501776118354,160,False
Fokus kerentanan,1804,Lampung Barat,Lampung,26.908953380114085,200,False
Fokus kerentanan,1805,Tulang Bawang,Lampung,21.170396614084638,292,False
Fokus kerentanan,1806,Tanggamus,Lampung,29.913554883437637,147,False
Fokus kerentanan,1807,Lampung Timur,Lampung,20.670278170810167,299,False
Fokus kerentanan,1808,Way Kanan,Lampung,18.845948607454876,323,False
Fokus kerentanan,1809,Pesawaran,Lampung,23.096699072033747,261,False
Fokus kerentanan,1810,Pringsewu,Lampung,21.485644641979093,287,False
Fokus kerentanan,1811,Mesuji,Lampung,11.114874835544889,400,False
Fokus kerentanan,1812,Tulang Bawang Barat,Lampung,15.865060508471894,364,False
Fokus kerentanan,1813,Pesisir Barat,Lampung,26.470292951078275,207,False
Fokus kerentanan,1871,Bandar Lampung,Lampung,18.10894348242178,336,False
Fokus kerentanan,1872,Metro,Lampung,16.2663970927101,362,False
Fokus kerentanan,1901,Bangka,Kepulauan Bangka Belitung,22.812760219902238,264,False
Fokus kerentanan,1902,Belitung,Kepulauan Bangka Belitung,27.13583162317708,191,False
Fokus kerentanan,1903,Bangka Selatan,Kepulauan Bangka Belitung,23.914493854609013,251,False
Fokus kerentanan,1904,Bangka Tengah,Kepulauan Bangka Belitung,29.851521295612194,148,False
Fokus kerentanan,1905,Bangka Barat,Kepulauan Bangka Belitung,24.62594963317899,234,False
Fokus kerentanan,1906,Belitung Timur,Kepulauan Bangka Belitung,23.60257625263746,254,False
Fokus kerentanan,1971,Pangkal Pinang,Kepulauan Bangka Belitung,16.648880025269722,355,False
Fokus kerentanan,2102,Karimun,Kepulauan Riau,28.492856660491714,164,False
Fokus kerentanan,2103,Natuna,Kepulauan Riau,25.77991604973329,220,False
Fokus kerentanan,2104,Lingga,Kepulauan Riau,29.33605374562327,151,False
Fokus kerentanan,2105,Kepulauan Anambas,Kepulauan Riau,24.819329937298498,229,False
Fokus kerentanan,2171,Batam,Kepulauan Riau,14.766759822834153,376,False
Fokus kerentanan,2172,Tanjung Pinang,Kepulauan Riau,15.134063080413284,373,False
Fokus kerentanan,3101,Kepulauan Seribu,DKI Jakarta,30.182636712737967,145,False
Fokus kerentanan,3171,Jakarta Pusat,DKI Jakarta,20.133608909517736,306,False
Fokus kerentanan,3172,Jakarta Utara,DKI Jakarta,20.03895215350166,309,False
Fokus kerentanan,3173,Jakarta Barat,DKI Jakarta,17.33760928309182,347,False
Fokus kerentanan,3174,Jakarta Selatan,DKI Jakarta,16.317613197819885,361,False
Fokus kerentanan,3175,Jakarta Timur,DKI Jakarta,18.076340020337973,337,False
Fokus kerentanan,3202,Sukabumi,Jawa Barat,26.65667376880924,203,False
Fokus kerentanan,3203,Cianjur,Jawa Barat,16.862477040711227,351,False
Fokus kerentanan,3204,Bandung,Jawa Barat,30.57304067883287,136,False
Fokus kerentanan,3205,Garut,Jawa Barat,22.459266624008407,270,False
Fokus kerentanan,3206,Tasikmalaya,Jawa Barat,25.326634907966124,224,False
Fokus kerentanan,3208,Kuningan,Jawa Barat,27.191604630454155,189,False
Fokus kerentanan,3210,Majalengka,Jawa Barat,24.533181502196204,236,False
Fokus kerentanan,3211,Sumedang,Jawa Barat,22.593512275311525,268,False
Fokus kerentanan,3212,Indramayu,Jawa Barat,15.188201083689174,371,False
Fokus kerentanan,3213,Subang,Jawa Barat,17.758651346253135,340,False
Fokus kerentanan,3214,Purwakarta,Jawa Barat,17.27956291627505,349,False
Fokus kerentanan,3215,Karawang,Jawa Barat,21.864247457903417,280,False
Fokus kerentanan,3217,Bandung Barat,Jawa Barat,36.011038836488154,74,False
Fokus kerentanan,3218,Pangandaran,Jawa Barat,19.343127441678092,316,False
Fokus kerentanan,3271,Bogor,Jawa Barat,24.658795784626445,233,False
Fokus kerentanan,3273,Bandung,Jawa Barat,25.868337715328263,216,False
Fokus kerentanan,3274,Cirebon,Jawa Barat,16.69352616187893,353,False
Fokus kerentanan,3275,Bekasi,Jawa Barat,11.88546227561072,395,False
Fokus kerentanan,3276,Depok,Jawa Barat,13.431193495918775,389,False
Fokus kerentanan,3277,Cimahi,Jawa Barat,22.210281823163903,273,False
Fokus kerentanan,3278,Tasikmalaya,Jawa Barat,29.04136781177886,154,False
Fokus kerentanan,3279,Banjar,Jawa Barat,21.847956689477627,281,False
Fokus kerentanan,3301,Cilacap,Jawa Tengah,21.706755709946687,284,False
Fokus kerentanan,3302,Banyumas,Jawa Tengah,28.412423412195466,166,False
Fokus kerentanan,3303,Purbalingga,Jawa Tengah,31.44818276177452,124,False
Fokus kerentanan,3304,Banjarnegara,Jawa Tengah,29.12466289829026,153,False
Fokus kerentanan,3305,Kebumen,Jawa Tengah,27.482166404835798,186,False
Fokus kerentanan,3306,Purworejo,Jawa Tengah,19.155936501796624,317,False
Fokus kerentanan,3309,Boyolali,Jawa Tengah,28.328888943593412,168,False
Fokus kerentanan,3310,Klaten,Jawa Tengah,26.91040032370787,199,False
Fokus kerentanan,3311,Sukoharjo,Jawa Tengah,18.51341381496697,329,False
Fokus kerentanan,3312,Wonogiri,Jawa Tengah,18.39701807577573,333,False
Fokus kerentanan,3314,Sragen,Jawa Tengah,20.86536001253436,295,False
Fokus kerentanan,3315,Grobogan,Jawa Tengah,29.95129006207286,146,False
Fokus kerentanan,3316,Blora,Jawa Tengah,26.477048210423558,206,False
Fokus kerentanan,3317,Rembang,Jawa Tengah,21.77299247108047,283,False
Fokus kerentanan,3318,Pati,Jawa Tengah,19.63209640275232,312,False
Fokus kerentanan,3321,Demak,Jawa Tengah,14.965382249102376,374,False
Fokus kerentanan,3323,Temanggung,Jawa Tengah,31.314658635277638,127,False
Fokus kerentanan,3324,Kendal,Jawa Tengah,22.716353096800074,265,False
Fokus kerentanan,3325,Batang,Jawa Tengah,23.616452485169766,253,False
Fokus kerentanan,3326,Pekalongan,Jawa Tengah,24.137977881636587,246,False
Fokus kerentanan,3327,Pemalang,Jawa Tengah,26.875412852074046,201,False
Fokus kerentanan,3328,Tegal,Jawa Tengah,18.69384921456983,326,False
Fokus kerentanan,3329,Brebes,Jawa Tengah,34.83650254065865,82,False
Fokus kerentanan,3371,Magelang,Jawa Tengah,13.987080421685114,381,False
Fokus kerentanan,3372,Surakarta,Jawa Tengah,17.55443597539289,343,False
